PEDRO RUIZ GALLO,-5.941387,-77.977098,1365,5361
SENIOR DE GUALAMITA,-5.935217,-77.974682,11,36
NUEVA ESPERANZA,-5.935482,-77.976755,4,15
PEDRO RUIZ,-5.94069,-77.97635,2,7
SAN JERONIMO,-5.95036,-77.97886,3,6
SANTA ROSA,-5.932149,-77.972108,1,5
VILLA ERNESTINA,-5.934992,-77.977918,0,0
